Date ,Company,Category,Aircraft,Location,Description,
4/8/15,"RoboFlight Systems, LLC","Agriculture, Education, Real Estate","DJI Phantom 2 Vision+, DJI Inspire 1, DJI S900, RF‰ÛÒ70",IA,"Agricultural surveying, small UAS operator training, real estate photography, product demonstrations, and research and development.",
4/8/15,"Arch Aerial, LLC","Agriculture, Photo/Film, Utilities/Energy/Infrastructure, Agriculture",Arch Aerial OCTO,TX,"Agricultural survey, film production, property survey, aerial photography, pipeline survey, and for monitoring damage in the event of a natural disaster.",
4/8/15,Down East Emergency Medicine Institute,Emergency Services,VK‰ÛÒFF‰ÛÒX4 Multirotor and VK-Ranger EX‰ÛÒSAR Fixed Wing,ME,Aerial search and rescue operations.,
4/8/15,"Habana Avenue, LLC dba Fly Habana",Photo/Film,"Cinestar 8 HL, DJI S1000, DJI S900, DJI Inspire, DJI Phantom I, DJI Phantom 2, DJI Phantom 3, XX8LI Zenmuse, and X8 Zenmuse",FL,"Aerial photography for motion picture, television, and the content creation industry for scripted closed set filming. (Amended 7/21/2015)",
4/8/15,"Draganfly Innovations, Inc.",Manufacturer,"Draganflyer X4P, Draganflyer X4ES, Draganflyer X6, Draganflyer Guardian",Canada,"Market research, aerial surveys, mapping and inspections.",
4/9/15,Micro Drone Vision,"Photo/Film, Education, Agriculture, Real Estate","DJI Phantom 1, DJI Phantom 2, 550S Flame Wheels, Inspire 1, S1000, 3D Robotics Iris+, Apprentice, Penguin B, DJI Phantom 3, Yuneec Typhoon Q500, Yuneec Typhoon Q500 +, Yuneec Typhoon Q500 + Pro",FL,"Flight training, agriculture, education, real estate photography, and videography, film and movie production, and demonstration flights. (Amended 5/7/15) (Amended 7/23/15)",
4/9/15,Altavian Inc.,Manufacturer,Altavian Nova F6500,FL,Aerial acquisitions and research over certain rural areas of the United States.,
4/9/15,Precision Drone LLC,"Agriculture, Manufacturer",Precision Drone Pacesetter,IN,Agricultural crop monitoring operations.,
4/9/15,Climate Corp Precision Planting LLC,Agriculture,DJI Phantom 2,IL,"Research and development, agricultural modeling, simulations, and imaging.",
4/9/15,Ryan K Koffman,"Photo/Film, Education","DJI Inspire, DJI S900, Blade 350QX",CA,"Aerial photography and/or video, training, and closed-set filming. (Amended 6/23/15)",
4/9/15,DeGrazia Music LLC,Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire",AZ,"Aerial cinematography and photography at controlled locations for use in motion picture, television, and music industries.",
