category_code,description_code,description
24,8860,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
24,8910,"Etchers, Engravers, and Lithographers"
24,8920,"Molders, Shapers, and Casters, Except Metal and Plastic"
24,8930,"Paper Goods Machine Setters, Operators, and Tenders"
24,8940,Tire Builders
24,8950,Helpers--Production Workers
24,8965,Other production workers including semiconductor processors and cooling and freezing equipment operators
25,9000,Supervisors of Transportation and Material Moving Workers
25,9030,Aircraft Pilots and Flight Engineers
25,9040,Air Traffic Controllers and Airfield Operations Specialists
25,9050,Flight Attendants and Transportation Workers and Attendants
25,9100,Bus and Ambulance Drivers and Attendants
25,9130,Driver/Sales Workers and Truck Drivers
25,9140,Taxi Drivers and Chauffeurs
25,9150,"Motor Vehicle Operators, All Other"
25,9200,Locomotive Engineers and Operators
25,9230,"Railroad Brake, Signal, and Switch Operators"
25,9240,Railroad Conductors and Yardmasters
25,9260,"Subway, Streetcar, and Other Rail Transportation Workers"
25,9300,"Sailors and marine oilers, and ship engineers"
25,9310,Ship and Boat Captains and Operators
25,9350,Parking Lot Attendants
25,9360,Automotive and Watercraft Service Attendants
25,9410,Transportation Inspectors
25,9420,"Transportation workers, nec"
25,9510,Crane and Tower Operators
25,9520,"Dredge, Excavating, and Loading Machine Operators"
25,9560,"Conveyor operators and tenders, and hoist and winch operators"
25,9600,Industrial Truck and Tractor Operators
25,9610,Cleaners of Vehicles and Equipment
25,9620,"Laborers and Freight, Stock, and Material Movers, Hand"
25,9630,Machine Feeders and Offbearers
25,9640,"Packers and Packagers, Hand"
25,9650,Pumping Station Operators
25,9720,Refuse and Recyclable Material Collectors
25,9750,"Material moving workers, nec"
26,9800,Military Officer Special and Tactical Operations Leaders
26,9810,First-Line Enlisted Military Supervisors
26,9820,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
26,9830,"Military, Rank Not Specified"
27,9920,"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked"
27,9999,Unknown
