f,ict
18047,1
18049,3
48087,2
55078,3
29001,2
29003,2
29005,2
29007,2
29009,2
37149,2
51061,2
51011,2
37143,1
37141,1
37147,1
37145,2
51013,4
31139,3
48173,2
51025,2
31135,3
31137,3
31131,3
31133,3
51015,3
18139,2
18135,3
18137,1
18131,3
18133,2
48179,2
48071,4
29179,2
30089,3
29175,2
29177,2
29171,2
30081,3
35006,4
17119,3
31175,3
