puma_id,state,internet,mean_income,median_income,pumaname
606504,6,0.8771641,81883.81,69200,Riverside County (Southwest)--Murrieta & Wildomar Cities
606505,6,0.789686,70420.8,56000,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities"
606506,6,0.695138,55391.54,40000,Riverside County (Southwest)--Hemet City & East Hemet
606507,6,0.7710873,67106.98,49600,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities"
606508,6,0.755426,65090.95,52000,Riverside County (Northwest)--Moreno Valley City
606509,6,0.7434686,70276.2,51000,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley"
606510,6,0.8290766,76393.52,57700,Riverside County (Northwest)--Riverside City (East)
606511,6,0.7524456,57928.35,48600,Riverside County (Northwest)--Riverside City (West)
606512,6,0.8617686,104737.2,88000,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens"
606513,6,0.8321464,76859.09,65000,Riverside County (West Central)--Corona (Northwest) & Norco Cities
606514,6,0.8384444,82985.11,69000,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities
606515,6,0.7807894,74037.88,48000,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities"
606701,6,0.777101,59751.91,48000,Sacramento County (North Central)--Citrus Heights City
606702,6,0.7675712,67873.51,52000,Sacramento County (Central)--Rancho Cordova City
606703,6,0.8233236,89128.58,61000,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)"
606704,6,0.7787252,50078.77,38000,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park"
606705,6,0.8110035,69807.84,64000,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas)
606706,6,0.7617638,60565.13,50000,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda"
606707,6,0.7469534,73210.5,50480,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown)
606708,6,0.6109764,50468.3,34000,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)"
606709,6,0.7078228,64206.1,46000,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna)"
606710,6,0.8669198,90360.98,70200,Sacramento County (Central)--Elk Grove City
606711,6,0.7469671,82548.74,67700,"Sacramento County (South)--Galt, Isleton Cities & Delta Region"
606712,6,0.8751338,102718.9,82000,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)"
607101,6,0.6980523,56004.55,41600,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities
607102,6,0.6311004,48193.32,40000,San Bernardino County (West Central)--Victorville & Adelanto Cities
607103,6,0.6737521,59116.77,44080,San Bernardino County (West Central)--Hesperia City & Apple Valley Town
607104,6,0.7658895,67251.34,54800,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City"
607105,6,0.8057706,76891.99,57000,San Bernardino County (Southwest)--Redlands & Yucaipa Cities
607106,6,0.7320033,61687.29,48101,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities"
607107,6,0.6688552,56668.39,40000,San Bernardino County (Southwest)--San Bernardino City (East)
607108,6,0.5809904,44327.62,31800,San Bernardino County (Southwest)--San Bernardino City (West)
607109,6,0.780811,59487.89,50000,San Bernardino County (Southwest)--Rialto City
607110,6,0.7382624,52414.3,43800,San Bernardino County (Southwest)--Fontana City (East)
607111,6,0.8922546,98644.47,85000,San Bernardino County (Southwest)--Rancho Cucamonga City
607112,6,0.7116823,73059.66,56000,San Bernardino County (Southwest)--Upland & Montclair Cities
607113,6,0.7538455,59716.41,50000,San Bernardino County (Southwest)--Ontario City
607114,6,0.9059613,103898.2,80720,San Bernardino County (Southwest)--Chino & Chino Hills Cities
607115,6,0.8949842,84669.41,73334,San Bernardino County (Southwest)--Fontana City (West)
607301,6,0.8335311,67785.95,49000,San Diego County (Northwest)--Oceanside City & Camp Pendleton
607302,6,0.7895991,81538.22,60000,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center"
607303,6,0.7571748,61540.26,44700,San Diego County (Northwest)--Vista City
607304,6,0.8519819,103058.1,75000,San Diego County (Northwest)--Carlsbad City
607305,6,0.7276662,68605.69,53000,San Diego County (Northwest)--San Marcos & Escondido (West) Cities
607306,6,0.7678786,69919.43,52000,San Diego County (Northwest)--Escondido City (East)
607307,6,0.8278082,81916.88,68800,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona"
607308,6,0.9289012,125523.3,107000,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities
607309,6,0.9038303,129344.4,97000,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities
